Swimming ID,Athlete First Name,Athlete Middle Name,Athlete Last Name,Athlete Gender,Athlete date of birth,Team name,Pref name
042610NORXBANK,Norman,,Banks,M,4/26/2010,Red,Norman
072211KEIXGARC,Keith,,Garcia,M,7/22/2011,Green,Keith
040512DUSXPRIC,Dustin,,Price,M,4/5/2012,Blue,Dustin
032703SYLXMCKE,Sylvester,,Mckenzie,M,3/27/2003,Red,Sylvester
111606ALXTAYL,Al,,Taylor,M,11/16/2006,Green,Al
091303RAMXEVAN,Ramiro,,Evans,M,9/13/2003,Blue,Ramiro
031603CHEXRICH,Chester,,Richardson,M,3/16/2003,Red,Chester
123112JULXSCHW,Julio,,Schwartz,M,12/31/2012,Green,Julio
051305FORXDOUG,Forrest,,Douglas,M,5/13/2005,Blue,Forrest
013005LEWXSUTT,Lewis,,Sutton,M,1/30/2005,Red,Lewis
091908MILXDIXO,Milton,,Dixon,M,9/19/2008,Green,Milton
091808MARXBURN,Marc,,Burns,M,9/18/2008,Blue,Marc
011410JODXFLOR,Jody,,Flores,M,1/14/2010,Red,Jody
013109RAFXHUGH,Rafael,,Hughes,M,1/31/2009,Green,Rafael
072711CLIXWASH,Clifford,,Washington,M,7/27/2011,Blue,Clifford
051908BRAXGRAN,Bradford,,Grant,M,5/19/2008,Red,Bradford
033008PREXHERN,Preston,,Hernandez,M,3/30/2008,Green,Preston
102511LAUXPATT,Laurence,,Patterson,M,10/25/2011,Blue,Laurence
030705OMAXBENN,Omar,,Bennett,M,3/7/2005,Red,Omar
091308ELBXBARK,Elbert,,Barker,M,9/13/2008,Green,Elbert
022508WADXMITC,Wade,,Mitchell,M,2/25/2008,Blue,Wade
020408ANDXSTEV,Andre,,Stevenson,M,2/4/2008,Red,Andre
112808TERXSHEL,Terry,,Shelton,M,11/28/2008,Green,Terry
020810JONXROBE,Jonathon,,Roberson,M,2/8/2010,Blue,Jonathon
061604ALEXLONG,Alejandro,,Long,M,6/16/2004,Red,Alejandro
060807PATXSCHM,Patrick,,Schmidt,M,6/8/2007,Green,Patrick
100110SAUXZIMM,Saul,,Zimmerman,M,10/1/2010,Blue,Saul
052604RICXHICK,Rick,,Hicks,M,5/26/2004,Red,Rick
100806MATXELLI,Mathew,,Elliott,M,10/8/2006,Green,Mathew
110410MIGXMART,Miguel,,Martinez,M,11/4/2010,Blue,Miguel
112810PERXPOWE,Perry,,Powers,M,11/28/2010,Red,Perry
102905CRAXHANS,Craig,,Hanson,M,10/29/2005,Green,Craig
120712GUAXLOPE,Guadalupe,,Lopez,M,12/7/2012,Blue,Guadalupe
052807RICXBUTL,Rickey,,Butler,M,5/28/2007,Red,Rickey
111608PABXPOWE,Pablo,,Powell,M,11/16/2008,Green,Pablo
012312SALXMATH,Salvador,,Mathis,M,1/23/2012,Blue,Salvador
102412JORXDANI,Jordan,,Daniel,M,10/24/2012,Red,Jordan
071305GLEXSANT,Glenn,,Santiago,M,7/13/2005,Green,Glenn
010206DANXWEBE,Dana,,Weber,M,1/2/2006,Blue,Dana
060410WALXBROC,Wallace,,Brock,M,6/4/2010,Red,Wallace
040806LESXBAIL,Lester,,Bailey,M,4/8/2006,Green,Lester
073007CECXMATT,Cecil,,Matthews,M,7/30/2007,Blue,Cecil
062905JERXPARK,Jeremy,,Park,M,6/29/2005,Red,Jeremy
103105CLAXBREW,Clayton,,Brewer,M,10/31/2005,Green,Clayton
101512GILXGUER,Gilberto,,Guerrero,M,10/15/2012,Blue,Gilberto
010708MARXKELL,Marco,,Kelly,M,1/7/2008,Red,Marco
090411JEFXARMS,Jeffrey,,Armstrong,M,9/4/2011,Green,Jeffrey
051111ROSXCAST,Ross,,Castro,M,5/11/2011,Blue,Ross
041409ERNXWILK,Ernest,,Wilkins,M,4/14/2009,Red,Ernest
110704DANXCOLL,Dan,,Collier,M,11/7/2004,Green,Dan
120410JODXPATT,Jody,,Patterson,M,12/4/2010,Blue,Jody
031809EDWXBART,Edwin,,Barton,M,3/18/2009,Red,Edwin
101206ENRXSCHN,Enrique,,Schneider,M,10/12/2006,Green,Enrique
010811LYNXTAYL,Lynn,,Taylor,M,1/8/2011,Blue,Lynn
041907BRIXCAMP,Brian,,Campbell,M,4/19/2007,Red,Brian
121809ALOXMOOD,Alonzo,,Moody,M,12/18/2009,Green,Alonzo
060506ERNXWILL,Ernesto,,Williams,M,6/5/2006,Blue,Ernesto
083007HECXPETE,Hector,,Peterson,M,8/30/2007,Red,Hector
111406JULXBLAI,Julio,,Blair,M,11/14/2006,Green,Julio
041710LAUXBARN,Laurence,,Barnes,M,4/17/2010,Blue,Laurence
021110LEOXRICE,Leonard,,Rice,M,2/11/2010,Red,Leonard
112903TIMXBLAC,Timothy,,Black,M,11/29/2003,Green,Timothy
040406ALBXPERK,Albert,,Perkins,M,4/4/2006,Blue,Albert
031105FRAXBURK,Frankie,,Burke,M,3/11/2005,Red,Frankie
041711GLEXBARB,Glen,,Barber,M,4/17/2011,Green,Glen
061208HORXHARR,Horace,,Harrington,M,6/12/2008,Blue,Horace
050212LESXSIMM,Lester,,Simmons,M,5/2/2012,Red,Lester
101208DARXWATT,Darrell,,Watts,M,10/12/2008,Green,Darrell
020807ALEXGARR,Alexander,,Garrett,M,2/8/2007,Blue,Alexander
080206DWAXVARG,Dwayne,,Vargas,M,8/2/2006,Red,Dwayne
031512DANXROBB,Danny,,Robbins,M,3/15/2012,Green,Danny
121108RAYXMAY,Ray,,May,M,12/11/2008,Blue,Ray
110503JORXCHAV,Jorge,,Chavez,M,11/5/2003,Red,Jorge
112412FERXCARL,Fernando,,Carlson,M,11/24/2012,Green,Fernando
082704LUTXMOOR,Luther,,Moore,M,8/27/2004,Blue,Luther
011705KRIXROME,Kristopher,,Romero,M,1/17/2005,Red,Kristopher
110903KERXFISH,Kerry,,Fisher,M,11/9/2003,Green,Kerry
051703RANXBALL,Randolph,,Ballard,M,5/17/2003,Blue,Randolph
020107MARXGILB,Marcus,,Gilbert,M,2/1/2007,Red,Marcus
072704CODXBARN,Cody,,Barnett,M,7/27/2004,Green,Cody
081103IVAXSANT,Ivan,,Santiago,M,8/11/2003,Blue,Ivan
030403MARXPATT,Marty,,Patton,M,3/4/2003,Red,Marty
071804MARXSOTO,Marco,,Soto,M,7/18/2004,Green,Marco
021604LLOXHUNT,Lloyd,,Hunter,M,2/16/2004,Blue,Lloyd
060409VERXCRAW,Vernon,,Crawford,M,6/4/2009,Red,Vernon
062905JONXHAMP,Jonathan,,Hampton,M,6/29/2005,Green,Jonathan
010611DANXPERR,Daniel,,Perry,M,1/6/2011,Blue,Daniel
091012TIMXRHOD,Timmy,,Rhodes,M,9/10/2012,Red,Timmy
050809CEDXMILL,Cedric,,Mills,M,5/8/2009,Green,Cedric
102604BERXWARN,Bernard,,Warner,M,10/26/2004,Blue,Bernard
